year,area,chapter,gender,value
2002,12UE,XVIII,F,6
2002,12UE,XX,M,34
2002,12UE,XX,F,14
2002,12UG,I,M,6
2002,12UG,I,F,7
2002,12UG,II,M,178
2002,12UG,II,F,148
2002,12UG,III,M,0
2002,12UG,III,F,1
2002,12UG,IV,M,6
2002,12UG,IV,F,8
2002,12UG,V,M,9
2002,12UG,V,F,26
2002,12UG,VI,M,15
2002,12UG,VI,F,15
2002,12UG,VII,M,0
2002,12UG,VII,F,0
2002,12UG,VIII,M,0
2002,12UG,VIII,F,0
2002,12UG,IX,M,204
2002,12UG,IX,F,201
2002,12UG,X,M,71
2002,12UG,X,F,55
2002,12UG,XI,M,12
2002,12UG,XI,F,20
2002,12UG,XII,M,1
2002,12UG,XII,F,3
2002,12UG,XIII,M,1
2002,12UG,XIII,F,7
2002,12UG,XIV,M,8
2002,12UG,XIV,F,6
2002,12UG,XV,F,0
2002,12UG,XVI,M,0
2002,12UG,XVI,F,0
2002,12UG,XVII,M,1
2002,12UG,XVII,F,0
2002,12UG,XVIII,M,0
2002,12UG,XVIII,F,3
2002,12UG,XX,M,36
2002,12UG,XX,F,21
2002,22UB,I,M,3
2002,22UB,I,F,6
2002,22UB,II,M,228
2002,22UB,II,F,255
2002,22UB,III,M,1
2002,22UB,III,F,1
2002,22UB,IV,M,12
2002,22UB,IV,F,14
2002,22UB,V,M,19
2002,22UB,V,F,38
2002,22UB,VI,M,24
2002,22UB,VI,F,26
2002,22UB,VII,M,0
2002,22UB,VII,F,0
2002,22UB,VIII,M,1
2002,22UB,VIII,F,0
2002,22UB,IX,M,284
2002,22UB,IX,F,252
2002,22UB,X,M,74
2002,22UB,X,F,129
2002,22UB,XI,M,30
2002,22UB,XI,F,41
2002,22UB,XII,M,3
2002,22UB,XII,F,4
2002,22UB,XIII,M,4
2002,22UB,XIII,F,3
2002,22UB,XIV,M,9
2002,22UB,XIV,F,17
2002,22UB,XV,F,0
2002,22UB,XVI,M,1
2002,22UB,XVI,F,0
2002,22UB,XVII,M,2
2002,22UB,XVII,F,0
2002,22UB,XVIII,M,7
2002,22UB,XVIII,F,26
2002,22UB,XX,M,26
2002,22UB,XX,F,12
2002,22UC,I,M,5
2002,22UC,I,F,8
2002,22UC,II,M,186
2002,22UC,II,F,155
2002,22UC,III,M,3
2002,22UC,III,F,2
2002,22UC,IV,M,11
2002,22UC,IV,F,14
2002,22UC,V,M,12
2002,22UC,V,F,33
2002,22UC,VI,M,15
2002,22UC,VI,F,26
